"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","##AB - Central Absentee Precinct","00","Local","0","643","0","0","643","0","0","0"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","##AB - Central Absentee Precinct","02","Congressional","0","643","0","0","643","0","0","0"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","##EV - Central Absentee Precinct","00","Local","0","3968","0","0","3968","0","0","0"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","##EV - Central Absentee Precinct","02","Congressional","0","3968","0","0","3968","0","0","0"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","##PE - Central Absentee Precinct","00","Local","0","30","0","0","30","0","0","0"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","##PE - Central Absentee Precinct","02","Congressional","0","30","0","0","30","0","0","0"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","101 - CHINCOTEAGUE","02","Congressional","1","0","1330","31","1331","2658","122","2780"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","201 - ATLANTIC","02","Congressional","0","0","484","2","484","1121","51","1172"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","202 - GREENBACKVILLE","02","Congressional","0","0","842","4","842","1891","106","1997"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","301 - NEW CHURCH","02","Congressional","0","0","650","16","650","2560","176","2736"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","401 - BLOXOM","02","Congressional","0","0","350","4","350","848","34","882"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","402 - PARKSLEY","02","Congressional","0","0","472","3","472","1145","47","1192"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","403 - SAXIS","02","Congressional","2","0","151","0","153","320","6","326"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","501 - MAPPSVILLE","02","Congressional","1","0","278","6","279","1125","59","1184"
"2021 November General ","2021-11-02 00:00:00","ACCOMACK COUNTY","502 - RUE","02","Congressional","0","0","208","2","208","1011","42","1053"
